Index,Sum of Round Trip Mileage (km),Sum of Round Trip CO2 emission (kgCo2e)
344,12.874752,0.45653870592
345,57.936384000000004,9.654519029760001
346,3.218688,0
347,2.5749504000000005,0
348,16.09344,0.5706733824
349,2.5749504000000005,0
350,51.499008,8.58179469312
351,119.09145600000001,19.845400227840003
352,19.312128,0.6848080588800001
353,38.624256,2.03433956352
354,12.874752,2.14544867328
355,6.437376,0
356,3.8624256,0
357,70.811136,11.799967703040002
358,0,0
359,9.0123264,1.501814071296
360,3.5405568000000005,0
361,5.793638400000001,0
362,5.4717696,0
363,14.484096000000001,2.4136297574400003
364,3.218688,0
365,19.312128,3.2181730099200005
366,9.0123264,0
367,22.530816,0.79894273536
368,160.9344,26.818108416000005
369,5.793638400000001,0.5918201625600001
370,32.18688,5.363621683200001
371,8.690457600000002,0
372,144.84096,24.1362975744
373,3.218688,0
374,80.4672,2.8533669120000003
375,4.828032,0
376,6.437376,0
377,41.842944,6.972708188160001
378,6.437376,0
379,48.28032,0
381,4.828032,0
382,112.65408000000001,3.9947136768
383,12.874752,1.3151559168000002
384,11.265408,0
386,9.656064,1.6090865049600003
387,6.437376,0
388,12.874752,2.14544867328
389,4.5061632,0
390,6.437376,1.07272433664
391,9.656064,0
392,3.218688,0
393,6.437376,1.07272433664
394,1.9312128,0
395,12.874752,0
396,6.759244800000001,1.1263605534720003
397,6.437376,0
398,3.218688,0
399,119.09145600000001,19.845400227840003
400,9.656064,1.6090865049600003
401,9.656064,1.6090865049600003
402,20.921472,0
403,9.656064,0.34240402944000004
404,6.437376,0.6575779584000001
405,51.499008,8.58179469312
406,6.437376,1.07272433664
407,16.09344,2.6818108416000004
408,48.28032,8.0454325248
409,3.8624256,0
410,9.656064,1.6090865049600003
411,4.828032,0
412,9.656064,1.6090865049600003
413,32.18688,0
414,51.499008,8.58179469312
415,38.624256,1.3696161177600001
416,54.717696000000004,1.94028950016
417,4.828032,0
418,128.74752,4.5653870592
419,45.061632,1.59788547072
420,6.437376,0.73173652992
421,1.609344,0
422,35.405568,5.899983851520001
423,86.904576,14.481778544640003
424,19.312128,1.9727338752000003
425,61.155072000000004,10.190881198080001
426,6.437376,0.6575779584000001
427,12.874752,0.6781131878400001
428,96.56064,16.0908650496
429,4.828032,0.8045432524800001
430,74.029824,2.62509755904
431,151.92207360000003,5.387156729856001
432,41.842944,6.972708188160001
433,51.499008,8.58179469312
434,32.18688,1.1413467648
435,16.09344,0
436,3.8624256,0
437,3.218688,0
438,9.656064,0.34240402944000004
439,6.437376,0
440,30.255667200000005,5.041804382208001
441,19.312128,3.2181730099200005
442,4.184294400000001,0
443,4.828032,0
444,128.74752,21.454486732800003
445,35.405568,5.899983851520001
446,8.04672,0
447,3.218688,0.32878897920000005
448,64.37376,10.727243366400002
449,48.28032,8.0454325248
450,35.405568,5.899983851520001
451,193.12128,6.8480805888
452,45.061632,7.5090703564800005
453,12.874752,2.14544867328
454,2.8968192000000004,0
455,41.842944,6.972708188160001
456,8.04672,0.8219724480000001
457,131.966208,21.99084890112
458,2.2530816,0
459,3.218688,0
460,51.499008,8.58179469312
461,32.18688,5.363621683200001
462,3.8624256,0
463,3.218688,0
464,4.828032,0
465,12.874752,2.14544867328
466,6.1155072,0.62469906048
467,48.28032,1.7120201472
468,48.28032,8.0454325248
469,51.499008,8.58179469312
470,64.37376,10.727243366400002
471,6.437376,0
472,16.09344,2.6818108416000004
473,55.3614336,9.225429295104
474,48.28032,8.0454325248
475,9.656064,1.6090865049600003
476,49.889664,5.096229177600001
477,38.624256,1.3696161177600001
478,7.7248512,1.287269203968
479,3.218688,0
480,51.499008,8.58179469312
482,4.5061632,0
483,54.717696000000004,9.118156861440001
484,25.749504,4.29089734656
485,80.4672,2.8533669120000003
486,70.811136,11.799967703040002
487,74.029824,12.336329871360002
488,2.5749504000000005,0
489,112.65408000000001,18.772675891200002
490,8.04672,0
491,19.312128,3.2181730099200005
492,6.437376,0.6575779584000001
493,6.437376,1.07272433664
494,25.749504,4.29089734656
495,25.749504,4.29089734656
496,14.484096000000001,2.4136297574400003
497,6.437376,0
498,17.702784,2.9499919257600005
499,28.968192000000002,4.827259514880001
500,6.759244800000001,0
501,9.656064,0
502,12.874752,2.14544867328
503,12.874752,0
504,4.828032,0
505,70.811136,11.799967703040002
506,6.437376,0
507,6.437376,0.6575779584000001
508,16.09344,1.6439448960000003
509,77.248512,12.872692039680002
510,244.62028800000002,40.763524792320005
511,9.656064,1.6090865049600003
512,54.717696000000004,9.118156861440001
513,77.248512,12.872692039680002
514,13.8403584,1.41379261056
515,99.779328,16.62722721792
516,5.149900800000001,0
517,32.18688,1.1413467648
518,35.405568,5.899983851520001
519,45.061632,7.5090703564800005
520,4.5061632,0
521,45.061632,2.37339615744
522,9.977932800000001,0.35381749708800003
523,28.968192000000002,4.827259514880001
524,1.2874752000000003,0
525,112.65408000000001,18.772675891200002
526,0,0
527,11.265408,0.39947136768
528,22.530816,0.79894273536
529,16.09344,2.6818108416000004
531,6.437376,1.07272433664
532,64.37376,2.2826935296
533,54.717696000000004,9.118156861440001
534,12.2310144,1.24939812096
535,6.437376,0.6575779584000001
536,6.437376,0
537,16.09344,0
538,32.18688,5.363621683200001
539,35.405568,5.899983851520001
540,41.842944,6.972708188160001
541,96.56064,16.0908650496
542,9.656064,0.9863669376000002
543,57.936384000000004,9.654519029760001
544,45.061632,1.59788547072
545,6.437376,1.07272433664
546,7.081113600000001,0
547,6.437376,0
548,9.656064,0
549,5.793638400000001,0
550,4.828032,0
551,28.968192000000002,4.827259514880001
553,3.5405568000000005,0
554,4.828032,0
555,6.759244800000001,0
556,16.09344,0.5706733824
557,263.932416,43.98169780224
558,25.749504,4.29089734656
559,4.5061632,0
560,8.04672,0
561,16.09344,0.5706733824
562,96.56064,3.4240402944
563,25.749504,4.29089734656
564,96.56064,3.4240402944
565,41.842944,6.972708188160001
566,6.437376,0
567,16.09344,0
568,67.592448,2.39682820608
569,7.081113600000001,0
570,5.4717696,0
571,64.37376,10.727243366400002
572,16.09344,0.5706733824
573,1.609344,0
574,4.184294400000001,0
575,518.2087680000001,0
576,2.5749504000000005,0
577,61.155072000000004,0
578,6.437376,0
579,6.437376,0
580,20.921472,3.4863540940800006
581,10.299801600000002,0
582,4.828032,0
583,25.749504,1.3562263756800002
584,9.656064,0.9863669376000002
585,32.18688,5.363621683200001
586,22.530816,3.7545351782400003
587,7.081113600000001,0
588,9.656064,1.6090865049600003
589,6.437376,0
590,6.437376,0
591,38.624256,1.3696161177600001
592,9.3341952,1.5554502881280001
593,48.28032,8.0454325248
594,103.96362239999999,17.324498036736
595,4.828032,0
596,215.65209600000003,35.93626527744001
597,41.842944,6.972708188160001
598,6.437376,1.07272433664
599,3.218688,0
600,7.081113600000001,0
601,8.04672,0.2853366912
602,35.405568,0
603,19.312128,3.2181730099200005
604,128.74752,21.454486732800003
605,25.749504,0
606,4.828032,0
607,3.8624256,0
608,6.437376,0.6575779584000001
